image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11
706526,5,14,18,55,39,15,4,3,2,0
680441,1,2,7,35,75,56,24,6,8,1
497291,0,1,2,13,70,71,23,15,4,3
780337,0,4,5,24,59,58,14,8,1,1
12940,0,1,8,24,32,18,12,2,1,0
402088,3,9,25,46,88,56,21,10,9,1
128385,7,14,42,78,83,32,26,9,3,1
604870,0,1,2,19,45,25,12,4,2,0
67415,4,5,8,25,47,53,26,8,3,0
637413,1,0,0,5,25,44,62,28,21,7
887433,1,1,1,2,21,32,44,22,7,2
489036,0,0,4,12,31,61,25,14,7,2
501507,2,0,2,9,31,60,38,15,13,4
773314,2,4,18,36,60,11,5,1,1,1
105142,1,2,8,28,67,52,23,11,3,4
678143,1,1,6,15,42,53,34,17,8,1
40642,2,4,20,34,47,25,13,2,2,0
450857,15,22,44,109,63,15,8,1,1,2
480755,0,1,0,10,33,52,21,12,3,1
132378,0,0,9,17,35,48,35,38,13,15
308904,3,5,11,32,69,44,23,7,2,1
924481,6,7,23,50,46,28,3,8,1,0
416954,1,4,16,60,104,79,50,21,8,3
650082,1,3,5,12,25,58,59,33,21,7
154066,2,5,16,35,82,72,68,44,17,6
651716,0,2,16,50,71,33,20,7,2,1
820906,0,0,9,28,56,57,33,8,6,2
633110,0,2,13,31,90,73,32,9,3,1
288984,0,2,5,22,74,63,19,4,1,2
951269,0,4,7,23,56,38,4,2,1,0
661326,4,9,27,64,58,20,8,2,0,1
930504,1,3,10,28,29,56,31,13,7,5
324862,1,1,6,29,80,92,28,8,4,1
10662,0,0,4,15,31,17,16,7,2,1
818707,1,3,12,28,62,35,10,2,0,0
194785,1,13,29,62,68,46,25,12,7,3
584137,2,2,3,16,36,52,37,19,2,2
366197,0,3,12,33,79,41,21,7,0,3
434819,0,0,6,46,87,50,7,7,0,4
687666,0,6,8,22,48,59,18,10,3,1
617847,0,1,1,11,62,54,19,8,9,1
170956,16,34,52,103,98,26,11,5,2,0
830450,0,0,2,5,18,65,42,25,16,7
244832,1,1,8,36,72,48,23,14,2,3
192746,4,9,34,83,92,27,15,8,2,1
625896,0,0,1,10,40,61,34,16,7,3
759174,0,1,0,4,16,34,52,41,17,25
669126,0,0,3,5,37,55,42,17,10,2
504789,3,1,4,7,21,51,44,26,13,5
166102,0,2,9,23,75,93,62,31,12,4
610411,0,1,6,37,49,41,18,6,1,0
38455,7,15,41,64,51,26,13,6,1,0
39339,4,22,43,51,50,23,16,8,0,1
822640,4,3,13,20,52,56,21,9,5,0
908068,0,3,6,30,53,51,31,20,7,3
13181,0,4,10,25,41,39,36,19,10,3
285575,1,5,5,15,27,68,55,42,21,24
648140,5,9,47,66,59,27,8,2,0,0
131306,8,18,50,88,73,30,6,6,3,0
28257,6,19,37,47,47,29,13,4,2,2
274322,1,3,15,24,69,67,48,24,19,8
381883,4,8,25,67,82,37,13,3,1,1
635498,1,1,0,9,37,74,54,25,13,7
492695,1,5,20,44,61,23,16,3,2,2
799991,4,4,22,29,46,27,32,8,4,2
316079,16,25,38,66,35,13,7,3,0,1
118656,2,3,11,30,92,79,60,34,11,5
377322,1,4,8,32,56,56,50,26,8,1
146764,2,8,11,44,120,89,27,15,5,4
84542,0,1,6,15,38,58,46,21,11,6
303535,1,1,9,37,75,46,15,4,2,2
511722,0,2,12,43,116,80,24,14,3,0
676571,1,5,6,26,46,57,19,8,4,0
731700,0,1,4,11,31,49,19,3,4,1
710116,1,1,2,8,35,66,48,17,15,7
461553,0,0,6,24,54,41,18,6,3,1
206844,39,45,68,54,34,13,1,0,0,0
653791,0,2,1,5,24,52,48,25,15,8
579340,0,0,0,6,31,50,37,15,6,5
857773,4,14,9,25,88,64,31,19,5,3
439968,0,0,2,26,86,60,35,13,9,4
584382,1,0,0,21,57,45,33,4,2,1
365892,33,53,72,67,48,13,3,2,0,0
270783,3,10,25,59,99,49,7,7,0,0
17346,2,7,14,41,61,55,22,14,5,2
324350,7,7,22,14,42,32,33,23,18,17
446353,2,7,15,72,99,32,6,4,0,2
276106,2,5,6,11,71,125,108,65,31,24
850821,2,7,7,21,78,48,30,12,3,2
342491,6,3,33,68,70,48,16,1,1,0
319738,7,9,22,54,78,56,18,11,4,2
943705,0,0,3,3,20,54,32,20,10,1
800844,0,1,5,21,44,46,23,8,10,4
885806,3,5,8,12,25,50,20,22,6,6
239365,5,1,19,47,94,46,18,3,4,2
262402,1,6,11,31,69,67,35,19,3,4
691209,0,2,6,26,52,47,28,18,5,1
668936,3,4,9,31,50,33,11,4,2,1
227579,2,2,24,60,85,59,38,17,8,4
759375,1,5,9,27,71,53,11,3,4,1
182548,7,26,41,74,98,40,13,4,0,3
931151,1,1,2,8,32,59,28,12,5,2
26979,4,22,30,63,62,30,14,3,1,0
934414,1,3,17,29,59,43,19,5,2,2
922626,0,0,6,16,35,43,15,3,2,0
342312,1,0,4,16,55,80,51,21,15,5
935641,1,0,6,30,72,54,13,6,3,0
500131,0,2,5,15,42,50,30,9,10,0
879637,0,0,2,3,15,41,39,21,6,8
934008,0,1,2,6,29,59,31,11,2,5
423013,0,1,9,15,42,50,36,8,8,1
325970,3,12,33,51,78,50,22,15,1,0
726098,0,1,10,10,56,49,19,13,0,0
1401,0,7,27,28,33,37,36,21,12,5
661416,2,0,1,9,44,63,36,21,11,5
527665,1,2,6,29,60,32,9,0,0,0
903988,0,1,8,18,34,52,15,12,2,2
862217,1,1,6,9,41,49,18,9,4,2
510680,0,0,3,16,64,78,36,12,7,1
765643,0,3,8,29,80,74,36,16,3,1
538874,0,1,2,22,62,57,28,13,0,0
437199,1,1,3,62,105,69,13,11,1,1
467061,0,0,3,8,45,49,48,16,8,4
49541,1,12,28,56,61,38,21,11,4,5
848643,0,1,7,15,52,92,53,20,6,0
774223,3,3,7,25,63,55,32,18,9,4
534606,0,0,5,14,37,47,15,12,4,3
98226,4,6,28,73,103,40,15,6,1,1
852660,0,2,9,35,67,52,16,2,3,1
241923,2,3,20,39,74,42,13,12,2,2
376618,4,11,13,34,54,39,21,17,9,6
626766,1,4,12,44,77,28,9,0,1,0
787154,1,4,8,17,47,50,26,13,4,5
163995,6,8,38,94,97,47,9,6,0,1
809467,0,2,5,13,44,48,25,11,3,4
319904,8,19,40,60,49,17,10,6,0,4
749727,1,1,6,5,46,61,35,14,5,1
828238,4,8,8,42,78,71,20,7,0,1
474680,0,3,4,54,70,29,1,3,1,1
910302,1,6,4,18,56,79,51,31,7,3
899772,4,10,21,52,55,38,11,4,1,0
39303,6,11,24,35,57,38,29,17,2,4
129170,0,1,3,18,68,64,24,16,3,3
896692,3,17,12,44,81,41,27,11,3,1
62142,7,26,50,104,48,29,7,3,1,0
902883,1,4,10,34,47,60,23,15,8,6
273896,0,6,18,50,83,72,29,13,3,3
847852,6,6,16,31,73,54,16,6,3,0
133154,2,5,19,77,127,72,27,7,1,3
667233,1,3,3,11,40,93,77,60,32,24
288078,0,0,2,5,14,47,53,36,19,11
687238,3,13,23,53,57,20,2,3,2,0
437372,1,8,11,43,73,60,38,15,4,2
888948,4,10,19,62,52,8,4,0,0,0
13389,0,1,1,7,19,26,26,9,5,6
846634,2,1,3,3,15,54,48,54,23,12
24573,1,9,31,41,30,5,5,0,0,0
10039,3,5,7,25,41,47,33,10,8,3
663867,0,1,1,13,32,36,28,19,10,4
150518,32,49,92,108,42,12,0,0,1,2
203031,0,1,13,30,85,98,70,39,16,5
927128,0,0,3,6,41,64,30,12,6,3
2859,0,11,15,35,31,59,41,23,21,5
906533,2,5,12,37,53,13,2,0,2,0
505330,2,2,9,44,61,18,4,1,2,2
613643,0,0,0,10,22,65,36,12,6,5
770459,1,7,13,42,146,151,71,29,10,3
713529,1,6,16,27,61,30,11,1,1,2
289164,2,12,44,75,74,24,6,2,0,0
13306,8,13,15,23,38,32,26,22,14,5
812769,0,3,7,26,56,30,12,4,0,0
64531,0,5,20,47,68,51,20,4,1,0
718956,1,2,14,51,45,25,3,5,1,0
521777,0,1,8,44,76,24,7,3,0,1
394104,1,3,10,39,76,46,13,5,2,0
457679,1,2,6,35,87,62,23,11,4,1
79121,0,0,14,42,79,25,13,5,4,0
10674,0,5,22,46,55,48,16,11,2,2
802495,3,1,2,11,39,36,9,8,2,2
493948,0,3,5,18,53,43,27,10,2,1
501860,0,1,4,34,68,42,9,5,1,1
321271,3,3,26,78,92,35,10,3,1,0
827621,2,0,8,17,55,65,28,22,10,7
911408,1,2,8,17,54,40,16,7,4,1
473313,0,1,2,13,34,36,42,29,18,13
200195,3,14,26,64,94,54,17,6,0,1
257582,1,13,25,63,92,49,22,12,4,1
288972,1,2,9,20,84,44,20,11,5,1
505362,0,1,4,7,25,54,49,26,8,1
364742,0,0,2,11,39,76,55,26,11,4
440401,1,3,10,44,71,49,11,7,2,1
323076,1,8,19,56,73,30,3,2,4,1
778187,0,1,6,19,50,45,22,15,7,1
942128,10,8,15,41,54,40,24,14,9,7
390311,0,4,7,37,56,53,25,11,5,3
137749,2,2,25,42,83,83,65,18,8,4
431214,1,3,4,25,71,54,17,8,2,1
117206,4,12,24,67,93,63,31,9,6,4
47464,4,12,21,51,67,34,12,8,2,4
659651,1,1,6,11,36,79,59,20,13,5
815977,0,1,0,1,11,25,42,29,17,19
808584,3,5,21,64,90,65,35,14,5,0
684420,1,2,14,39,57,17,6,2,2,0
857969,10,21,40,77,73,27,5,3,0,2
711524,0,0,4,17,45,43,25,13,4,1
109546,0,1,9,35,52,55,27,8,3,0
75409,5,11,26,64,51,18,4,1,0,0
349515,18,11,34,46,41,17,11,1,1,0
450628,2,1,19,85,127,38,16,4,0,0
71981,7,21,40,63,73,38,15,3,7,1
760372,0,3,14,41,58,51,25,11,8,3
622946,0,1,1,24,55,57,16,6,4,0
9219,1,8,14,49,63,67,27,14,6,1
148551,2,10,23,69,75,22,11,4,3,0
788395,1,16,19,40,63,28,5,0,1,0
778148,0,3,8,40,62,31,10,4,0,0
682050,0,2,4,37,78,42,13,6,2,0
167849,0,2,6,19,54,75,48,27,11,5
181422,15,26,41,69,66,36,10,4,5,1
745435,0,2,3,24,53,52,21,5,0,1
175613,0,3,16,43,75,27,8,5,0,1
838237,2,5,8,26,66,61,28,9,2,3
818751,0,1,12,33,49,47,24,15,4,4
140851,0,4,9,27,59,60,25,19,1,3
119953,4,18,45,77,84,45,24,8,1,2
719616,7,16,15,64,39,17,9,3,1,2
418595,0,1,5,35,77,55,12,3,1,1
448485,2,10,41,99,94,22,11,3,0,0
631247,6,13,39,97,61,32,9,6,3,2
313224,3,6,21,57,52,14,7,3,0,0
741622,0,9,16,53,92,36,17,4,2,2
676048,0,1,6,17,41,68,26,9,6,2
539764,0,1,4,15,36,48,49,18,9,2
34342,4,7,19,27,51,42,26,18,8,3
779196,0,2,7,15,58,60,25,10,2,2
729035,4,4,16,52,73,32,12,7,2,1
387464,9,5,23,31,92,106,65,38,22,18
302000,1,2,5,25,75,60,28,7,0,5
358922,0,2,8,24,78,53,37,11,4,5
665025,0,1,5,13,34,42,16,8,1,6
823041,7,17,34,66,50,12,7,4,2,0
102506,10,31,51,86,52,12,6,1,0,0
95550,6,13,34,69,73,38,17,10,2,2
74534,1,8,20,62,100,45,20,3,2,5
865743,1,7,14,22,65,45,42,13,8,10
867018,0,2,1,16,35,62,38,18,10,2
318884,0,0,1,6,30,57,37,27,17,10
94694,0,2,7,24,62,44,19,7,2,2
109489,5,8,15,47,103,53,25,8,2,1
502527,3,5,7,25,60,47,14,9,2,1
5847,0,8,10,23,55,76,63,49,27,16
596944,1,0,3,18,45,48,21,5,2,1
874902,2,14,27,63,58,28,13,5,4,1
127047,0,1,4,34,70,44,23,7,3,0
24257,0,0,2,23,32,21,18,9,2,1
517775,1,0,3,10,25,58,49,32,14,8
35636,0,2,6,25,33,41,13,3,4,1
751705,0,4,9,36,76,27,4,1,1,0
338252,14,26,31,61,50,28,9,2,1,1
784439,1,0,5,14,46,54,51,22,21,11
440625,2,4,17,40,60,41,18,8,4,2
676364,1,0,7,18,63,60,39,29,8,7
772627,1,9,30,100,216,114,31,6,2,0
408164,0,1,2,18,78,72,33,10,3,0
451228,1,5,17,77,147,75,23,4,1,2
458025,1,1,12,29,60,35,14,10,3,3
931389,2,0,1,4,25,47,62,48,27,19
490333,5,1,7,38,61,46,15,14,4,1
290432,14,33,46,62,76,44,27,15,11,7
419294,10,15,34,55,50,27,17,2,3,3
68215,16,12,20,49,61,52,22,15,7,5
828452,3,4,17,43,77,51,33,15,6,10
723602,1,0,8,19,50,31,14,3,4,0
191465,2,10,19,65,92,70,13,7,3,1
345202,2,4,9,38,77,32,13,4,1,1
610407,0,0,4,15,62,58,21,1,2,1
824908,11,19,21,62,35,10,5,2,0,1
812010,0,3,8,13,49,63,33,19,8,5
405889,7,12,16,51,78,68,41,14,4,5
925233,2,3,7,23,62,58,19,6,3,1
70537,1,1,10,25,64,50,29,10,2,2
892392,0,1,2,11,51,42,9,7,0,0
422721,0,4,12,52,105,70,22,7,2,2
658958,0,2,7,28,73,74,25,12,1,2
84036,4,5,18,36,60,51,45,27,9,7
558748,0,1,6,27,48,27,6,5,3,0
935251,1,5,12,35,80,46,16,4,2,1
129709,5,15,33,66,99,55,22,17,7,1
751565,2,2,12,41,72,24,4,0,1,0
366118,1,10,15,35,65,44,20,8,1,1
286896,2,8,18,52,81,46,22,8,2,1
850612,0,1,6,20,45,52,24,9,5,1
370946,0,2,6,15,53,68,35,10,4,5
392899,0,0,5,16,36,46,42,27,7,5
325632,0,4,6,26,51,53,47,19,7,4
944729,4,2,5,17,37,66,46,28,17,15
272006,11,27,66,131,106,36,15,8,0,2
66589,1,2,21,35,58,39,17,8,0,0
644311,1,4,15,44,66,35,8,2,3,1
605858,0,2,2,9,52,28,11,2,2,0
380039,0,6,10,32,57,57,19,12,2,0
25189,6,12,33,58,87,45,22,6,1,1
75262,2,12,44,86,98,37,13,3,2,0
272630,0,3,11,31,92,53,20,9,1,5
305468,1,3,2,31,64,53,25,5,2,2
16201,9,25,54,52,30,16,5,3,1,0
512354,0,0,3,11,29,77,61,38,8,3
732122,1,2,2,8,47,77,43,18,3,2
696439,0,0,3,6,22,46,48,33,18,8
6578,3,8,18,33,96,66,40,17,6,2
474840,2,7,15,49,65,29,11,3,0,0
762584,0,4,19,36,68,49,26,22,7,3
314678,1,2,3,6,43,63,36,18,6,4
65962,9,18,46,71,67,37,15,6,4,1
863860,9,16,20,36,46,27,18,2,2,3
476621,0,3,8,37,56,43,8,4,3,1
379985,0,0,7,16,79,84,41,16,4,1
882062,1,0,1,6,42,43,23,8,1,2
183267,0,3,11,27,76,76,32,14,6,2
882889,1,5,4,28,75,38,12,3,2,1
42881,6,24,38,46,53,28,17,14,5,4
298918,4,5,29,84,103,43,20,5,3,0
38119,1,8,20,52,59,44,20,10,6,4
540705,0,3,10,29,76,44,19,6,2,0
155463,2,13,25,58,82,21,5,1,0,1
93335,2,9,22,51,77,38,11,3,1,0
160340,0,5,12,45,67,45,16,5,0,1
105814,1,4,15,45,60,53,29,17,4,0
109167,1,8,15,52,85,46,27,19,1,5
184104,1,12,31,59,110,48,34,8,3,4
787317,2,3,11,46,70,38,13,3,1,1
8836,25,16,23,37,65,39,39,20,4,6
567774,0,5,10,43,65,51,18,2,1,0
850959,0,1,1,17,43,58,31,9,3,0
405204,3,6,9,38,70,28,10,1,1,1
564238,2,3,9,52,56,18,3,1,0,0
537649,0,0,2,26,59,35,11,1,1,0
854570,1,7,15,25,88,48,19,6,2,0
279522,12,18,25,48,72,65,33,15,2,6
588564,1,4,13,40,62,37,13,1,1,0
793331,0,5,11,24,59,48,24,12,2,2
503201,6,14,19,51,47,17,5,0,1,0
339212,4,2,9,32,101,70,36,13,7,5
766069,5,7,15,31,60,39,22,7,3,0
675920,5,4,13,26,63,46,10,8,3,0
4746,4,4,13,37,64,67,46,16,8,3
250753,5,8,17,49,82,45,27,7,3,5
606930,0,0,1,4,28,42,27,14,3,2
564557,1,2,13,34,55,27,11,6,0,0
10789,5,8,29,51,69,40,24,4,1,1
820713,0,6,23,44,48,15,5,2,1,0
418752,0,3,3,22,49,84,40,17,10,4
329380,1,0,2,19,45,76,38,19,5,6
661684,0,6,10,31,55,51,19,6,5,5
704092,1,4,12,21,63,55,17,7,4,2
129316,4,8,35,72,96,60,34,8,5,4
951446,0,3,0,15,46,44,16,12,0,1
381134,3,6,6,23,60,70,40,30,5,8
8466,2,9,22,50,86,54,41,11,6,2
850953,26,20,29,57,61,9,3,0,0,1
903532,1,0,3,11,31,46,40,14,5,1
39424,12,17,29,54,60,28,11,7,0,2
269893,1,3,11,41,73,66,17,13,4,1
408337,0,5,12,39,79,53,13,9,2,0
537606,0,0,5,33,63,23,3,0,0,0
69929,1,7,20,32,62,64,47,26,10,9
515863,11,29,32,80,30,7,2,1,1,0
735048,1,6,12,35,58,16,3,0,1,0
7860,3,10,18,38,77,50,56,20,6,4
96697,1,5,8,54,101,81,33,16,5,3
591725,1,4,10,51,56,30,9,6,0,1
944414,4,1,10,15,44,50,21,3,2,0
948933,1,0,0,5,40,53,29,10,4,1
128485,27,38,49,78,60,20,5,3,1,2
911105,0,1,8,19,60,41,16,5,2,0
228773,2,1,6,14,50,84,75,36,19,16
906585,1,5,6,25,37,34,7,4,2,1
154709,1,5,14,49,112,75,43,15,8,3
132324,1,2,6,28,103,96,64,34,10,7
260253,1,11,18,55,77,32,17,2,2,3
403937,1,1,2,8,24,49,46,25,16,11
497664,0,1,6,19,56,80,58,22,15,5
236483,5,13,22,36,57,36,14,14,7,2
357243,1,4,19,66,64,21,10,4,1,1
17908,7,25,50,64,52,25,5,1,2,0
4440,1,4,22,55,68,56,31,10,7,0
118680,2,9,16,41,75,71,54,30,13,8
21271,3,12,28,47,53,23,16,1,1,0
745036,10,6,24,49,50,26,13,5,2,1
674059,0,0,0,5,13,49,38,22,15,11
430432,2,8,9,38,58,32,16,8,3,1
651650,7,6,26,79,63,18,5,4,0,0
52511,1,11,17,52,56,48,11,6,1,1
291790,2,7,27,46,88,50,12,12,1,2
83507,0,0,8,30,69,33,16,7,2,0
767136,2,6,13,45,55,14,2,2,0,1
837978,2,4,7,27,46,64,36,17,3,0
11913,0,0,2,3,17,36,21,11,4,4
572573,2,0,2,11,43,61,37,27,9,5
36989,1,5,11,25,46,46,28,24,7,1
819625,1,1,0,4,13,20,51,51,31,39
709967,0,2,2,16,57,60,27,14,8,2
644660,1,1,5,17,42,81,44,28,13,5
373014,8,34,44,64,52,26,9,5,3,1
941413,1,1,5,21,49,49,26,15,6,1
874316,1,5,8,18,65,71,37,15,5,1
346497,0,6,15,33,62,38,16,5,2,1
857008,2,7,8,17,63,78,41,23,9,9
238399,5,11,29,68,63,28,14,6,5,2
945786,1,5,6,30,49,29,6,4,0,0
395484,5,4,14,51,58,33,12,6,0,3
56709,10,21,29,44,44,41,19,15,14,4
754059,0,0,3,7,18,53,48,32,4,2
830718,0,4,6,22,53,44,18,4,2,1
882431,3,5,10,21,49,45,17,8,1,3
448880,1,5,12,47,81,43,5,3,1,2
150887,0,0,3,12,40,67,36,28,17,9
229647,0,4,23,77,121,47,10,1,2,0
359275,1,10,26,69,88,21,10,2,1,1
297223,0,2,6,20,42,86,67,39,21,9
798098,1,7,13,23,56,63,32,20,9,3
187284,0,1,2,20,73,84,56,19,5,4
208404,1,5,7,30,77,45,16,7,6,1
69098,3,4,11,32,84,65,40,11,10,3
362354,18,24,21,55,45,18,15,2,2,3
120389,1,3,11,27,91,78,60,34,12,5
836161,6,11,25,65,56,29,2,3,0,1
280769,5,13,54,127,161,41,12,3,1,1
102953,7,8,25,46,72,50,31,9,5,7
518614,7,12,32,77,61,17,5,2,0,1
618208,3,2,5,26,53,41,9,4,0,1
917401,0,0,2,12,39,55,26,8,6,4
45375,20,41,63,64,30,8,0,1,0,0
454287,3,2,8,30,61,46,38,8,2,1
868286,3,3,3,12,65,81,23,5,4,2
536512,0,0,1,7,34,54,26,9,1,1
957517,0,1,4,8,36,44,20,5,2,2
82692,1,9,26,53,66,47,23,11,6,0
262223,1,8,10,43,90,57,28,18,5,4
167080,0,1,11,29,95,52,28,10,3,3
854747,1,4,19,28,93,37,22,8,2,1
423112,4,10,16,41,67,28,12,6,1,0
695833,1,1,8,28,63,34,9,12,5,3
592488,1,4,13,76,109,62,26,10,3,2
60534,0,2,6,29,37,41,9,8,2,2
11277,5,8,17,45,56,45,14,10,2,0
541769,2,2,9,38,45,29,13,5,1,0
766125,0,4,4,26,69,47,33,12,2,1
423201,3,8,23,42,60,36,14,9,4,0
847246,0,2,7,22,69,101,36,10,1,1
39296,1,2,14,20,35,46,44,40,17,11
47335,0,8,20,38,61,60,17,16,5,5
85700,0,3,7,13,40,46,44,17,15,7
676154,0,2,3,11,28,60,38,19,10,7
779522,0,3,15,39,77,37,12,5,0,0
160512,0,2,11,40,84,33,13,7,1,1
880361,0,0,2,7,53,79,46,19,6,4
640551,1,0,2,9,59,54,16,3,0,0
284678,2,8,32,68,84,83,37,20,7,4
446446,3,6,24,75,93,31,8,2,0,0
151696,2,12,35,58,92,29,6,6,2,0
383452,0,2,5,16,55,56,20,10,4,1
88326,13,36,52,90,63,25,6,3,1,1
631686,0,0,3,21,70,62,22,13,2,0
60949,2,12,26,51,70,49,26,9,5,3
711129,3,1,11,44,75,41,19,4,5,0
776845,1,1,7,23,66,36,8,3,1,0
342738,1,9,13,44,87,51,25,5,2,1
754917,31,40,56,109,49,16,3,0,2,1
287560,0,1,11,42,61,43,25,9,3,3
656856,4,13,30,62,68,38,7,1,2,2
260177,1,3,5,19,81,68,28,9,2,5
357077,0,2,5,35,78,53,11,1,1,1
874158,0,0,2,15,62,58,7,7,0,0
643049,0,0,4,13,50,68,29,12,6,5
49701,0,0,7,29,44,35,23,11,1,0
388793,1,1,9,29,78,44,15,5,1,2
321255,1,1,8,20,46,53,54,28,9,5
783913,0,3,14,37,85,37,11,7,2,0
911374,6,9,14,50,45,15,9,2,1,0
745949,4,1,14,27,59,40,26,14,2,3
283367,0,2,3,13,66,61,28,16,5,3
893056,2,9,23,38,48,19,4,1,3,0
837876,0,2,6,13,54,52,42,23,7,1
750321,0,1,8,25,77,37,8,1,3,0
56626,0,6,17,33,59,39,22,8,4,0
20755,7,22,34,78,52,25,15,3,1,0
12344,1,6,16,51,72,28,19,8,0,1
943963,1,3,8,13,31,45,30,7,5,4
55695,0,4,3,21,39,56,51,18,16,4
821387,25,32,34,52,30,7,5,3,0,1
661531,4,13,22,55,69,15,3,1,0,1
472303,0,0,5,16,44,62,23,7,1,2
425168,0,0,3,25,46,41,15,5,3,2
129561,1,13,26,84,99,64,21,12,3,2
714417,2,5,2,26,61,38,5,7,2,2
567870,1,0,4,33,54,58,24,13,5,0
388821,1,1,13,19,64,61,31,8,2,0
361541,2,8,12,27,54,50,27,10,6,8
37959,3,2,12,20,49,59,36,17,12,3
389524,4,4,16,34,65,50,29,12,4,2
88398,2,9,33,52,54,22,8,3,1,1
20761,3,6,17,46,61,41,35,18,5,1
483570,0,1,3,13,31,65,41,29,6,5
663800,0,3,6,21,70,33,14,3,0,2
802671,0,0,5,13,43,42,14,3,0,0
224347,0,3,1,18,32,74,39,34,19,17
674973,0,0,6,16,30,39,25,12,9,2
230500,4,12,27,78,83,36,15,7,0,2
230246,2,2,7,15,44,81,68,42,29,16
723051,2,1,5,24,47,46,19,15,3,2
347418,2,11,21,75,98,45,11,4,2,3
191493,9,20,53,80,73,29,8,5,1,1
141141,1,4,5,32,71,65,28,6,4,3
287743,1,6,22,44,79,35,7,6,2,2
16580,0,1,1,5,13,24,32,15,12,7
325515,1,3,14,39,80,66,29,23,4,8
504792,0,0,1,1,24,42,44,48,11,12
430607,0,1,3,32,99,93,46,20,6,1
45373,1,7,21,42,73,55,28,8,0,1
878045,0,3,7,17,56,48,28,9,6,3
682421,1,2,11,30,93,97,43,20,5,0
183004,2,5,7,23,71,79,45,22,5,5
132890,7,12,18,53,69,35,7,5,2,0
463356,2,1,1,8,31,38,40,42,10,12
162096,4,12,30,83,112,48,27,10,6,5
343838,4,2,13,42,68,20,9,5,0,0
247346,0,3,12,30,84,36,15,7,3,0
770916,0,1,3,12,46,52,35,15,3,5
343409,1,2,12,34,100,71,29,13,1,1
412562,5,10,20,74,87,45,24,8,3,1
298989,5,9,37,59,85,62,27,7,5,0
373431,2,14,20,61,73,37,17,6,2,0
170633,2,14,37,88,123,48,21,5,1,0
9970,2,4,9,19,43,33,44,21,5,4
128047,2,4,14,32,63,72,50,36,17,8
695705,5,11,27,64,43,12,5,1,2,1
751336,1,5,9,19,62,63,51,16,4,4
662120,0,0,5,8,49,75,74,46,24,14
343151,0,2,8,37,81,60,38,17,6,2
891647,0,0,2,4,31,60,51,21,13,2
811046,1,3,6,22,70,34,11,4,1,0
167375,2,3,17,38,93,61,11,8,2,0
930758,0,1,6,22,54,50,30,11,4,2
